Attribute Id	Attribute name	Domain Id
6840	<NA>	2
6331	Swr1 complex	3
5147	R2TP complex	3
2454	Ino80 complex	3
563	box C/D snoRNP assembly	3
426	ATP-dependent DNA helicase activity	3
423	ATP-dependent 5'-3' DNA helicase activity	3
2317	histone exchange	3
6530	translation initiation factor binding	4
1740	eukaryotic translation initiation factor 3 complex	4
6529	translation initiation factor activity	4
6541	translational initiation	4
5396	regulation of innate immune response	5
4439	positive regulation of defense response to virus by host	5
4349	positive regulation of antibacterial peptide biosynthetic process	5
1252	defense response to virus	5
4311	poly(A)-specific ribonuclease activity	6
3238	mRNA catabolic process	6
713	CCR4-NOT core complex	6
711	CCR4-NOT complex	6
4030	P-body	6
3852	nuclear-transcribed mRNA poly(A) tail shortening	6
3647	negative regulation of translation	6
6714	unfolded protein binding	7
4900	protein folding	7
905	chaperonin-containing T-complex	7
433	ATP-dependent RNA helicase activity	8
2913	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8
6102	small-subunit processome	8
5912	rRNA processing	8
6381	t-UTP complex	8
76	90S preribosome	8
2911	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8
3861	nucleolus	8
4794	preribosome, large subunit precursor	8
5799	ribosomal large subunit biogenesis	8
3098	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	9
5078	proton transmembrane transport	9
5082	proton-transporting ATP synthase activity, rotational mechanism	9
418	ATP synthesis coupled proton transport	9
3097	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	9
3066	mitochondrial electron transport, cytochrome c to oxygen	9
1173	cytochrome-c oxidase activity	9
3109	mitochondrial respiratory chain complex IV	9
3103	mitochondrial respiratory chain complex I	9
3067	mitochondrial electron transport, NADH to ubiquinone	9
3358	NADH dehydrogenase activity	9
2680	large ribosomal subunit	9
3120	mitochondrial small ribosomal subunit	9
3132	mitochondrion	9
3124	mitochondrial translation	9
3080	mitochondrial large ribosomal subunit	9
5803	ribosomal small subunit assembly	10
6281	structural constituent of ribosome	10
6525	translation	10
3775	nuclear chromosome	10
5808	ribosome	10
1199	cytoplasmic translation	10
1225	cytosolic small ribosomal subunit	10
1224	cytosolic ribosome	10
1222	cytosolic large ribosomal subunit	10
5797	ribosomal large subunit assembly	10
5824	RNA binding	10
3804	nuclear migration along microtubule	11
476	axonal transport of mitochondrion	11
459	axo-dendritic transport	11
4968	protein localization to kinetochore	11
3255	mRNA transport	11
1498	dynactin complex	11
875	centrosome localization	11
462	axon cytoplasm	11
5744	retrograde axonal transport	11
4374	positive regulation of axonogenesis	11
3038	microtubule-based movement	11
2634	kinetochore organization	11
1501	dynein complex binding	11
872	centrosome	11
1263	dendrite guidance	12
731	cell dedifferentiation	12
4707	positive regulation of transcription, DNA-templated	12
425	ATP-dependent chromatin remodeling	12
6330	SWI/SNF complex	12
5915	RSC-type complex	12
568	brahma complex	12
3766	npBAF complex	12
3373	nBAF complex	12
6342	synaptic growth at neuromuscular junction	13
5149	R3/R4 cell fate commitment	13
3011	micropyle formation	13
2425	imaginal disc-derived male genitalia morphogenesis	13
2898	MAPK cascade	13
6622	TSC1-TSC2 complex	14
5706	response to nutrient	14
5597	regulation of terminal button organization	14
5507	regulation of phosphorylation	14
4693	positive regulation of TORC2 signaling	14
3638	negative regulation of TORC1 signaling	14
3637	negative regulation of TOR signaling	14
3567	negative regulation of organ growth	14
3417	negative regulation of cell growth	14
2739	lipid homeostasis	14
2694	larval midgut histolysis	14
2627	kinase binding	14
935	cholesterol homeostasis	14
806	cellular response to chloroquine	14
6052	signal transduction	14
4494	positive regulation of GTPase activity	14
5836	RNA N6-methyladenosine methyltransferase complex	15
3248	mRNA methylation	15
6033	sex determination	15
5882	RNA splicing, via transesterification reactions	15
4812	primary sex determination, soma	15
5216	regulation of alternative mRNA splicing, via spliceosome	15
6654	U2-type prespliceosome	16
6646	U12-type spliceosomal complex	16
6189	spermatogenesis	16
6645	U1 snRNP	16
6222	spliceosomal snRNP assembly	16
6661	U4/U6 x U5 tri-snRNP complex	16
6219	spliceosomal complex	16
5091	Prp19 complex	16
6664	U5 snRNP	16
6097	small nuclear ribonucleoprotein complex	16
6649	U2 snRNP	16
697	catalytic step 2 spliceosome	16
4791	precatalytic spliceosome	16
3253	mRNA splicing, via spliceosome	16
4847	proteasome core complex, alpha-subunit complex	17
4659	positive regulation of RNA polymerase II transcriptional preinitiation complex assembly	17
4855	proteasome-activating ATPase activity	17
4848	proteasome core complex, beta-subunit complex	17
4853	proteasome regulatory particle, lid subcomplex	17
436	ATPase activity	17
4852	proteasome regulatory particle, base subcomplex	17
4846	proteasome core complex	17
4841	proteasomal ubiquitin-independent protein catabolic process	17
4840	proteasomal protein catabolic process	17
6441	threonine-type endopeptidase activity	17
1586	endopeptidase activity	17
4851	proteasome regulatory particle	17
4856	proteasome-mediated ubiquitin-dependent protein catabolic process	17
4845	proteasome complex	17
3879	nucleosomal DNA binding	18
3886	nucleosome positioning	18
3448	negative regulation of DNA recombination	18
3428	negative regulation of chromatin silencing	18
1479	double-stranded DNA binding	18
957	chromatin DNA binding	18
3774	nuclear chromatin	18
3880	nucleosome	19
3881	nucleosome assembly	19
2301	histone binding	19
