genex	geney	r
-	trh	0.3009580631705845
4E-T	mRpL42	0.32364242579238095
5-HT1B	shrb	0.3459551153333268
a10	CG11696	0.32261263972394444
Abi	Hem	0.31332013094124755
Abi	Sra-1	0.3624121517108603
Abl	Ack	0.5505201834412042
Abl	AMPKalpha	0.31631106717488044
Abl	Arf51F	0.34566214783354265
Abl	CG32066	0.39803870372686373
Abl	Csk	0.3638594354907628
Abl	dnk	0.33300861085128475
Abl	dock	0.3592084114018342
Abl	Hip1	0.41074782255012593
Abl	mtm	0.3421734222721585
Abl	Nmt	0.33624598705050945
Abl	nocte	0.46549696769083404
Abl	Ocrl	0.4015997890337282
Abl	Pak3	0.3296290204463725
Abl	PIP4K	0.4003937798847783
Abl	Rab35	0.34202254347565275
Abl	RhoGAPp190	0.3338342727801792
Abl	SNF4Agamma	0.38036266210532066
Ac78C	CG13096	0.31023924205025927
Ac78C	CG14543	0.30161208945569323
Ac78C	CG31111	0.3256284612035836
Ac78C	CR11386	0.30049155707028374
Ac78C	eIF1	0.32547215608339813
Ac78C	Ip259	0.39881861995591145
Ac78C	Mys45A	0.3517836705997996
Ac78C	Nep6	0.32873464558487736
Ac78C	Nnp-1	0.30190414019298867
Ac78C	Non1	0.3731700305187124
Ac78C	Ns1	0.32299324654174283
Ac78C	Ns2	0.34340473278984
Ac78C	Tlk	0.3043996148695386
AcCoAS	CG14006	0.4150673315955441
ACC	alphaCOP	0.31826809276224716
ACC	Cbp80	0.39572451621972043
ACC	CG17119	0.373734029941375
ACC	CG7483	0.363641126902167
ACC	Clamp	0.3037108154183473
ACC	deltaCOP	0.41297852996688506
ACC	dgt1	0.3561155484082962
ACC	DMAP1	0.3682068321050119
ACC	dmt	0.3862284658389646
ACC	eIF2beta	0.33699109740492617
ACC	eIF2gamma	0.37261506496029584
ACC	fand	0.3122418386805172
ACC	gammaCOP	0.374806400316442
ACC	Hel25E	0.3796963471635757
ACC	Hsc70-5	0.3126197160474596
ACC	Nacalpha	0.3355375471588306
ACC	Not1	0.36067830894253683
ACC	nsl1	0.371836000224637
ACC	Nup107	0.3150662042142343
ACC	Pop2	0.37465083875109484
ACC	Pp1-87B	0.32147906154753936
