genex	geney	r
-	CG34207	0.9012591985206999
-	qua	0.9014180327581925
-	Tailor	0.9160276686252332
-	CG32720	0.9087612072937358
-	Or43a	0.9222297030949904
14-3-3zeta	msl-1	0.9159994064719202
14-3-3zeta	Nup133	0.9051060145371058
14-3-3zeta	Nup188	0.9057850139891722
14-3-3zeta	pic	0.9049699950659617
14-3-3zeta	Sec61alpha	0.9092815843911762
14-3-3zeta	SerRS	0.9100572738237376
14-3-3zeta	sqd	0.9230617702895781
4E-T	Bap111	0.9245388846588302
4E-T	CG9393	0.90508112051833145
4E-T	mor	0.9104343714828775
4E-T	Vps37B	0.915834365296901
5-HT1B	CG13722	0.9532739006785582
5-HT1B	CG14414	0.9019691899666198
5-HT1B	CG14420	0.9402043382069174
5-HT1B	CG15528	0.9141947500886101
5-HT1B	CG2202	0.9209488017628777
5-HT1B	CG6985	0.9414840000788656
5-HT1B	CG7548	0.9256384384229831
5-HT1B	CG8072	0.9014010514570798
5-HT1B	cora	0.9015909984555212
5-HT1B	cv	0.9059421786022017
5-HT1B	Ilp1	0.9409508873497693
5-HT1B	Nepl17	0.9094054404583745
5-HT1B	PIG-Wb	0.9134963714778211
5-HT1B	Pus1	0.9159282284944404
5-HT1B	sPLA2	0.9162279516555032
5-HT1B	Tm2	0.9185326442282898
5-HT1B	Art1	0.9244134624998132
5-HT1B	CG8372	0.9171566233594748
5-HT1B	me31B	0.9132211921817944
5-HT1B	Prp19	0.9039290278131918
5-HT1B	sov	0.935100752579539
Abi	Arpc2	0.9026584752562936
Abi	Cdc42	0.9139909397648166
Abi	Hem	0.9583804403112818
Abi	SCAR	0.9283649694699753
Abi	Sra-1	0.967783867440876
Abl	be	0.9276552306701787
Abl	gish	0.9051622588889618
Abl	SMC5	0.915570305821316
ab	CG18327	0.9088942506715294
ab	CG31220	0.9175501190772889
ab	CG6985	0.9052647310874149
ab	Cyp1	0.9287962485251191
ab	Dys	0.9306964080268572
ab	kl-3	0.9009238213879311
ab	l(1)G0320	0.9273534709352018
ab	ND-20L	0.9175655963910244
Ac78C	CG11583	0.9420681979917046
Ac78C	CG1234	0.9606300265957491
Ac78C	CG12499	0.9360868386863345
Ac78C	CG13096	0.9762550456062083
Ac78C	CG1542	0.9369376127549005
Ac78C	CG1785	0.9548809607326132
Ac78C	CG18273	0.9543937451943064
Ac78C	CG2765	0.9102869962227577
Ac78C	CG32344	0.9081324054175344
Ac78C	CG32409	0.9677145477218094
Ac78C	CG33217	0.9723792213109542
Ac78C	CG3817	0.9591570023528747
Ac78C	CG4806	0.9500994910585022
Ac78C	CG5033	0.9800143161463865
Ac78C	CG5114	0.9125525789862013
Ac78C	CG6712	0.927030674167261
Ac78C	CG6937	0.9707790589699473
Ac78C	CG7006	0.9797833815321805
Ac78C	CG7839	0.9662753314167346
Ac78C	CG8545	0.9787916945617444
Ac78C	CG8939	0.9318431130468693
Ac78C	CG9246	0.9522065238853386
Ac78C	eIF6	0.9177890979905354
Ac78C	Hlc	0.9625754431446832
Ac78C	Ip259	0.9619930607202664
Ac78C	IscU	0.9259493633766489
Ac78C	l(2)k09848	0.961602648862399
Ac78C	mfrn	0.9092630931726583
Ac78C	Mys45A	0.9844178471018857
Ac78C	Nep6	0.9597573383615942
Ac78C	Nnp-1	0.9380814680291846
Ac78C	Non1	0.9433606549197167
Ac78C	Non3	0.9067697015556518
Ac78C	Ns1	0.9642087420978696
Ac78C	Ns2	0.9599758936881231
Ac78C	Piezo	0.9207406020808471
Ac78C	ppan	0.943791193010662
Ac78C	RpL24-like	0.9501175866067962
Ac78C	RpLP0-like	0.9107673545984275
Ac78C	Rs1	0.9508966195580337
Ac78C	Tektin-C	0.9699513512443381
Ac78C	TwdlM	0.9181669419642382
AcCoAS	Aef1	0.9345163605454742
AcCoAS	bru3	0.9070972467031926
ACC	Nup133	0.9078904031604131
Acer	CG4702	0.906749692372971
Acer	Ir7c	0.9000237727675449
Ack-like	gek	0.9033153760027619
Ack-like	CG10116	0.9282059659607036
Ack-like	CG10147	0.9069307299061251
Ack-like	CG12116	0.926325801504025
Ack-like	CG17028	0.9257298259577056
Ack-like	CG3734	0.9160190037256147
Ack-like	Pitslre	0.9382549135355406
Ack	Csk	0.9364225366615584
Ack	dock	0.958135653524314
Ack	Hip1	0.963631508834591
Ack	Klp68D	0.9454237616058901
Ack	Mps1	0.9006682986902897
Ack	phol	0.9070331113935041
Acp29AB	CG8230	0.9035866751557626
Acp36DE	sona	0.9005057426868656
Acp76A	CG11291	0.9087666104008079
Acp76A	CG18538	0.9047706254390723
Acp76A	CR34320	0.9272469886617175
Acp76A	GramD1B	0.9234265447548162
Acp76A	ouib	0.9048667532027593
Acp76A	side-IV	0.9235358884373819
Acsl	Dhap-at	0.9046025132452217
Acsl	Doa	0.9040628029024118
Act5C	Arpc1	0.9327442392559088
Act5C	Arpc5	0.9321673862119084
Actn3	mtDNA-helicase	0.9019661160565852
ACXA	CG11597	0.9210139955937544
ACXA	CG14095	0.9106129682439444
ACXA	CG14579	0.9182762335443462
ACXA	CG15528	0.9196814607033079
ACXA	CG17265	0.9204168115239538
ACXA	CG2202	0.9085752706089886
ACXA	cora	0.9160268633398345
ACXA	gdl	0.9105356653792146
ACXA	Ilp1	0.9407219141888081
ACXA	PIG-Wb	0.9271209431139507
ACXA	Pus1	0.9106554120381583
ACXA	sPLA2	0.9304050011683817
Ada2a	MED14	0.9323323074240474
Ada2a	Rpb4	1
Ada2a	Rpb5	0.9259235269335823
Ada2a	Rpb8	0.9138869666674947
Ada2b	br	0.934741446632408
Ada2b	Rbf	0.9211526640935161
Ada2b	Sgf29	0.9510656969120553
Ada2b	yin	0.9331530749748737
ADD1	CG10761	0.9396974749788413
ADD1	CG11035	0.9003812189321875
ADD1	CG14000	0.9118318831575984
ADD1	CG42866	0.9332936436601725
ADD1	pb	0.9558068839817968
ADD1	PNPase	0.9312014437476204
ADD1	PTPMT1	0.9004751964433928
Adk3	Anp	0.9227846723427702
Adk3	CG11597	0.9015082343518606
Adk3	CG31740	0.9071843267221188
Adk3	JhI-21	0.9107041392727164
Aduk	CG10185	0.9037909502345116
Aduk	CG13545	0.9064431579090293
Aduk	CG13559	0.9039214068531207
Aduk	CG13587	0.92293267443093
Aduk	CG17982	0.9119515464852254
Aduk	CG2911	0.9213373352368683
Aduk	CG33288	0.9281214163033132
Aduk	CG43759	0.912206757378313
Aduk	CG5787	0.9166983730487067
Aduk	CG7265	0.9209821630608822
Aduk	eater	0.9344426092913635
Aduk	Eglp3	0.9155761737207561
Aduk	gdl	0.9179653119732504
Aduk	Idgf1	0.9090747381526357
Aduk	Nrk	0.9090054579895487
Aduk	Osi2	0.9136834623004736
Aduk	robl37BC	0.9049133000204064
Aduk	upd1	0.905138212404209
Aduk	Z600	0.939210013428721
Ady43A	amd	0.9056784593917996
Aef1	BCAS2	0.9201120104444093
Aef1	bru3	0.9432416750755712
Aef1	CHES-1-like	0.9118418836566152
Aef1	DNApol-delta	0.9455302881301718
Aef1	Herp	0.9258302358612965
Aef1	PPP4R2r	0.9225862761372278
Aef1	PR-Set7	0.935121320723331
Ag5r2	CG13001	0.9058037273490311
Ag5r2	CG14252	0.917215837525596
Ag5r2	CG1607	0.9530343865578448
Ag5r2	CG31445	0.9360881723031984
Ag5r2	CG5909	0.9056296274494392
Ag5r2	CG6115	0.9216206393794699
Ag5r2	HPS4	0.9284675335493526
Ag5r2	Ppa	0.9009009104826345
AGO1	CG2201	0.9214026163689053
AGO1	muc	0.9137911233416262
AGO1	Src42A	0.903825384326319
AGO2	Atx2	0.9347832838796384
AGO2	CG32066	0.9056896927648087
AGO2	Dp	0.9540586652164711
AGO2	eIF3k	0.9182533283508749
AGO2	mip130	0.9041033852897506
AGO2	nocte	0.9326383445128232
AGO2	tral	0.9406769299947171
ago	CG3511	0.9125013530271195
ago	CG8578	0.9084266114998929
ago	Rok	0.9048438197482146
agt	CG12911	0.9052908260148386
agt	CG13741	0.9077428231550093
agt	CG13982	0.9232612750214803
agt	CG42582	0.9518494771426287
agt	CG42659	0.9066061856624009
agt	CG42811	0.9224301657621462
agt	CG42812	0.9224301657621462
agt	CG9903	0.9023009733470205
agt	Cpr92A	0.9438399435652443
agt	Fad2	0.910777570531014
agt	Ppa	0.9460211421896898
agt	Ugt35A1	0.9158556528117852
agt	whe	0.9050152082143603
Ahcy	faf	0.903351086449913
Ahcy	Nap1	0.9149037617855718
AIF	CG15741	0.9086372622119139
AIF	RagA-B	0.9046682300500599
AIF	Tctp	0.9041466830105284
Akh	CG14625	0.9160389230364028
Akh	CG14691	0.9271571228653367
Akh	CG31741	0.9006912029993601
Akh	CG34124	0.9250000769353347
Akh	dmGlut	0.9113084703599954
Akh	dysc	0.92660168776394
Akh	Pat1	0.9213376345126707
akirin	pont	0.9182006019503346
Akt1	CG11180	0.9225055781467812
Akt1	Hug	0.9064032415532546
Aladin	CG6347	0.90184931426427
Aladin	eIF3g1	0.9065985685172502
Alg11	CG14857	0.9035493398686847
Alg14	Ir92a	0.9028686700511894
Alg14	zyd	0.9028680107940585
Alh	CG15459	0.9184270898875774
Alh	CG3815	0.9226107451876567
Alh	CG4281	0.93521918653669045
Alh	glob2	0.9023402908472432
Alh	gpp	0.9579177367570048
Alh	Mdh2	0.9392894780119853
Alh	puf	0.9198537807082059
AlkB	CG2765	0.9096663948216254
Alp11	Obp19c	0.9050294183558811
alpha-Cat	CG6628	0.9031911715838574
alpha-Est6	CG44836	0.9074050433567037
alpha-Man-IIb	Axud1	0.9112726839525587
alpha-Man-IIb	Nab2	0.9462717842714282
alpha4GT1	CG42676	0.9129717345416243
alpha4GT1	CG42826	0.9304662692437712
alpha4GT2	Vsp37A	0.9007560223953658
alphaCOP	beta'COP	0.9638868926464008
alphaCOP	betaCOP	0.9416767466691289
alphaCOP	gammaCOP	0.9557099159593859
alphaCOP	zetaCOP	0.9543010342393047
alph	Hsc70Cb	0.9091616755930619
alph	lsn	0.9137662738920942
alph	Prosbeta3	0.9070964793458196
alph	Smg5	0.9183792102314824
alph	Upf1	0.9031119222372612
Alr	GstE14	0.9076050892076011
Amph	CG15239	0.9057900574601291
Amph	CG6296	0.9035110064591653
AMPKalpha	SNF4Agamma	0.9914348162680932
Amun	Atx2	0.9033425382550756
Amun	Bap111	0.9195271432250764
Amun	brm	0.9367538474368017
Amun	CG3847	0.9392333576788948
Amun	crol	0.931397462026652
Amun	mor	0.9320260829821088
Amun	SelD	0.9108827900081778
Amun	Snr1	0.9270451573016275
Amun	Top2	0.9185529026065279
Amy-p	CG18586	0.9223499104111204
ana2	CG2127	0.9113839565703569
ana2	CG30088	0.9075810231624368
ana2	CG34367	0.9114347608975247
ana2	CG3704	0.9075611572935092
ana2	CG44837	0.9090398375563227
ana2	Hexim	0.9146566358097465
ana2	Ppa	0.9241660685491081
ana2	SmydA-2	0.9536660454897079
ana2	TpnC25D	0.9011390244466692
ana2	wg	0.9284521612215146
Ance-5	CG9672	0.9003957229993149
Ance-5	Picot	0.9224498380098429
Ance	bib	0.91482130516583815
Ance	CG17186	0.9069821058276336
Ance	stl	0.9018172600947341
Ankle2	baf	0.9023066311979815
Ankle2	Cdc16	0.9048952841379557
Ankle2	CG4297	0.9048656595852823
Ankle2	ida	0.9038018767530954
Ankle2	pan	0.9003473826564816
Ankle2	VhaPPA1-1	0.9298185801173382
Anp	asRNA:CR43243	0.9448532184262987
Anp	CG11597	0.9446367245624838
Anp	CG13722	0.9266982784799049
Anp	CG17265	0.9149478052507406
Anp	CG2202	0.9189251889616521
Anp	CG31220	0.9359514106053116
Anp	CG31730	0.9016038339522519
Anp	CG31740	0.9054430371228135
Anp	CG6484	0.9132927150120609
Anp	CG7548	0.9176158621669436
Anp	FMRFa	0.921050896024672
Anp	Ilp1	0.9027966348619059
Anp	LysS	0.9062914947857802
Anp	Mdr49	0.9404336618573045
Anp	Obp19c	0.9073944611921606
Anp	Pus1	0.934498139749829
Anp	Rim	0.9150027258173559
Anp	TwdlR	0.9035649154725387
Anp	Vml	0.9455655930104685
Aos1	lwr	0.9191629004736036
AOX2	CG42542	0.9249789317120468
AOX2	nSMase	0.902897260583586
AP-1-2beta	AP-2alpha	0.9429617277756982
AP-1-2beta	AP-2mu	0.9560928012831708
AP-1-2beta	AP-2sigma	0.9377973346192616
AP-1-2beta	ClC-c	0.943275096172151
AP-2alpha	AP-2mu	0.9036781781151442
AP-2alpha	Atf3	0.9266616461701339
AP-2alpha	ClC-c	0.9172878549372604
AP-2mu	AP-2sigma	0.9531115090166488
AP-2sigma	MED24	0.9087989459107435
APC4	baf	0.9354002393951966
APC4	Cdc16	0.9478625387536124
APC4	Cdc23	0.9168587512775176
APC4	Cdc27	0.9108418013865293
APC4	CG33346	0.9051864862635264
APC4	ida	0.9443769737663414
APC4	mr	0.9585753462398986
APC4	pan	0.9217761133961264
aph-1	CG1529	0.9518875653153357
aph-1	Gmer	0.9189908200336124
aph-1	Pih1D1	0.9035388574271135
apn	iPLA2-VIA	0.9207910649325437
ap	CG41378	0.9235021320035262
