genex	geney	r
-	CG7542	0.2344972251317725
-	Mkp3	0.22691650481897646
-	TTLL4B	0.22668202368084323
-	trh	0.3009580631705845
-	DCX-EMAP	0.261974738708037
-	Him	0.23627996881554417
-	CG43980	0.23866209727858856
-	Rph	0.2085959960675602
-	MCPH1	0.20044514306171288
-	Cad96Cb	0.2282383370656667
-	Lcp65Ac	0.22118229933079153
-	CG34040	0.20244487303184777
140up	CG17896	0.24434508002272068
140up	Cep97	0.24262065240962888
140up	Mkk4	0.23426878246008861
4E-T	mRpL42	0.32364242579238095
4E-T	capt	0.272838541264067
4E-T	CG7322	0.24869486927301518
5-HT1B	vkg	0.23022997298742096
5-HT1B	Wnt5	0.22441833771347808
5-HT1B	CG9514	0.22076304137221914
5-HT1B	shrb	0.3459551153333268
5-HT1B	me31B	0.29020115339870883
5-HT1B	pim	0.2874765964390137
5-HT2A	salm	0.2871654893816941
5-HT2A	CG31140	0.2802245137282214
5-HT2A	if	0.2763494492775968
5SrRNA:CR33405	Taf13	0.2876823026256604
5SrRNA:CR33405	Surf6	0.25062707074537294
5SrRNA:CR33405	CG42814	0.23478790345961378
a10	CG11696	0.32261263972394444
a10	Sr-CIII	0.2792187802557569
a10	CR43100	0.2622636496488831
a5	CG42658	0.253355487645851
a5	Atf6	0.2397455907661047
a5	Pcd	0.23030964324181197
AANAT1	CG6907	0.25759090204918367
AANAT1	dpr3	0.2484606228783126
AANAT1	Cda5	0.24518482870436048
Aatf	CG42392	0.23780472844226494
Aatf	Ada1-2	0.21147406858552173
Aatf	CG32191	0.2051041884035878
abd-A	CadN	0.24239670820523018
Abd-B	CG17724	0.20387890805036696
Abi	Sra-1	0.3624121517108603
Abi	Hem	0.31332013094124755
Abi	Arpc5	0.2619182383710246
Abl	Ack	0.5505201834412042
Abl	nocte	0.46549696769083404
Abl	Hip1	0.41074782255012593
ab	CG7017	0.28165749145752755
ab	RhoGAPp190	0.26553800152671675
ab	CG14689	0.217972840015926
abs	Stt3A	0.27793553798672177
abs	SA	0.25155655510514524
abs	Rs1	0.23315563699156477
Ac78C	Ip259	0.39881861995591145
Ac78C	Non1	0.3731700305187124
Ac78C	Mys45A	0.3517836705997996
Acam	Gr63a	0.23739055198942785
Acam	CG17839	0.21790112217790153
Acam	Zif	0.20273889419191776
