genex	geney	idx	idy	r
-	edin	03_H3	02_F2	0.48309388719029395
-	ppk26	03_O13	12_N1	0.45427086665654126
140up	phm	13_H24	16_P18	0.46618363995110457
4E-T	Atx2	14_C24	06_E11	0.4576519481712319
4E-T	CG32066	14_C24	05_O3	0.4756298508443488
4E-T	spen	14_C24	10_N22	0.49783056041338364
5-HT1B	Abl	19_A11	11_M22	0.4713225781536708
5-HT1B	AMPKalpha	19_A11	09_L15	0.5984744578236842
5-HT1B	aqz	19_A11	07_G24	0.5153154981672085
5-HT1B	Arf51F	19_A11	14_I17	0.5002778744656441
5-HT1B	ben	19_A11	07_O9	0.49414296176660044
5-HT1B	brun	19_A11	10_M10	0.4812931871517989
5-HT1B	Cdk2	19_A11	13_P8	0.604679667449608
5-HT1B	CG32066	19_A11	05_O3	0.5987740424614124
5-HT1B	Cul1	19_A11	11_M12	0.6198321871483959
5-HT1B	dock	19_A11	12_N23	0.5072606032367567
5-HT1B	dup	19_A11	17_E20	0.7466980437258494
5-HT1B	Gnf1	19_A11	13_L20	0.49834844313504745
5-HT1B	Hip1	19_A11	17_L17	0.5523202930886998
5-HT1B	His2A:CG33829	19_A11	13_I3	0.49247943284813417
5-HT1B	His2A:CG33850	19_A11	05_D6	0.5109842662944459
5-HT1B	Hrb27C	19_A11	17_G13	0.4773956426236966
5-HT1B	key	19_A11	13_C23	0.4789867493754828
5-HT1B	me31B	19_A11	19_D11	0.4911984453943373
5-HT1B	MICAL-like	19_A11	11_J17	0.4544813175958427
5-HT1B	mute	19_A11	19_I7	0.47483371643772043
5-HT1B	Mvl	19_A11	02_A8	0.45900721233046143
5-HT1B	Nmt	19_A11	05_D24	0.49977456597964637
5-HT1B	Pcf11	19_A11	14_G24	0.5216107876140209
5-HT1B	PCNA	19_A11	18_I7	0.4511296440259775
5-HT1B	pim	19_A11	09_F8	0.5361407535858926
5-HT1B	PIP4K	19_A11	06_D14	0.48832514778573605
5-HT1B	PR-Set7	19_A11	02_E14	0.48730914495485966
5-HT1B	Pten	19_A11	13_H7	0.4927208180238191
5-HT1B	RhoGAP92B	19_A11	07_I9	0.46315345033069383
5-HT1B	RhoGAPp190	19_A11	16_H2	0.5296668794459444
