Attribute Id	Attribute name	Domain Id
715	Platelet-Derived Growth Factor-Vascular Endothelial Growth Factor Receptor-Related Signaling Pathway Core Components	2
1003	VACUOLAR ATPASE V1 DOMAIN SUBUNITS	2
510	JAK-STAT Signaling Pathway Core Components	3
485	Insulin-like Receptor Signaling Pathway Core Components	3
796	RHO GTPASES	4
740	PROTEASOME SUBUNITS	5
982	U1 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	6
985	U4-U6 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	6
900	SPLICEOSOMAL SM PROTEINS	6
902	SPLICEOSOME COMPLEX A	6
983	U2 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	6
986	U4-U6-U5 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	6
987	U5 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	6
903	SPLICEOSOME COMPLEX B	6
906	SPLICEOSOME COMPLEX P	6
904	SPLICEOSOME COMPLEX C	6
168	CHROMOSOMAL PASSENGER COMPLEX	7
599	Negative Regulators of Insulin-like Receptor Signaling Pathway	8
966	TRAPP COMPLEX	9
36	ADAPTOR PROTEIN COMPLEX 2	9
807	RNA POLYMERASE II	10
545	MEDIATOR COMPLEX	10
199	COP9 SIGNALOSOME	11
954	TRANSCRIPTION FACTOR II D	12
729	Positive Regulators of JAK-STAT Signaling Pathway	13
718	POLYBROMO-CONTAINING BRAHMA ASSOCIATED PROTEINS COMPLEX	14
115	BRAHMA ASSOCIATED PROTEINS COMPLEX	14
717	POLYADENYLATION FACTORS	15
466	HISTONE PRE-MRNA CLEAVAGE COMPLEX	15
594	NADH DEHYDROGENASES	16
556	MITOCHONDRIAL COMPLEX I - NADH:UBIQUINONE OXIDOREDUCTASE COMPLEX SUBUNITS	16
559	MITOCHONDRIAL COMPLEX IV - CYTOCHROME C OXIDASE SUBUNITS	16
212	CYTOCHROME-C OXIDASES	16
565	MITOCHONDRIAL SMALL RIBOSOMAL PROTEINS	16
563	MITOCHONDRIAL LARGE RIBOSOMAL PROTEINS	16
562	MITOCHONDRIAL F[[1]] ATP SYNTHASE COMPLEX SUBUNITS	16
561	MITOCHONDRIAL F[[0]] ATP SYNTHASE COMPLEX SUBUNITS	17
445	HEAT SHOCK PROTEIN 60 CHAPERONINS - GROUP II	18
318	DYNACTIN COMPLEX	19
281	CYTOPLASMIC TRANSLATION INITIATION FACTORS	20
273	CYTOPLASMIC SMALL RIBOSOMAL PROTEINS	21
246	CYTOPLASMIC LARGE RIBOSOMAL PROTEINS	21
186	COAT PROTEIN COMPLEX I	22
