Attribute Id	Attribute name	Domain Id
1016	WAVE REGULATORY COMPLEX	2
805	RNA EXOSOME COMPLEX	3
188	COHESIN	4
246	CYTOPLASMIC LARGE RIBOSOMAL PROTEINS	5
26	ACTIN-RELATED PROTEIN 2/3 COMPLEX	6
946	TORC1 COMPLEX	7
510	JAK-STAT Signaling Pathway Core Components	8
485	Insulin-like Receptor Signaling Pathway Core Components	8
218	CYTOPLASMIC AMINOACYL-TRNA SYNTHETASES	9
949	Torso Signaling Pathway Core Components	9
279	CYTOPLASMIC TRANSLATION ELONGATION FACTORS	9
715	Platelet-Derived Growth Factor-Vascular Endothelial Growth Factor Receptor-Related Signaling Pathway Core Components	9
1003	VACUOLAR ATPASE V1 DOMAIN SUBUNITS	10
629	NUCLEAR PORE COMPLEX	10
740	PROTEASOME SUBUNITS	11
273	CYTOPLASMIC SMALL RIBOSOMAL PROTEINS	12
281	CYTOPLASMIC TRANSLATION INITIATION FACTORS	12
562	MITOCHONDRIAL F[[1]] ATP SYNTHASE COMPLEX SUBUNITS	13
561	MITOCHONDRIAL F[[0]] ATP SYNTHASE COMPLEX SUBUNITS	13
565	MITOCHONDRIAL SMALL RIBOSOMAL PROTEINS	13
559	MITOCHONDRIAL COMPLEX IV - CYTOCHROME C OXIDASE SUBUNITS	13
212	CYTOCHROME-C OXIDASES	13
594	NADH DEHYDROGENASES	13
556	MITOCHONDRIAL COMPLEX I - NADH:UBIQUINONE OXIDOREDUCTASE COMPLEX SUBUNITS	13
563	MITOCHONDRIAL LARGE RIBOSOMAL PROTEINS	13
143	CCR4-NOT COMPLEX	14
784	RAS-RELATED GTPASES	15
164	CHROMATIN ASSEMBLY FACTOR 1	16
915	STRIATIN-INTERACTING PHOSPHATASE AND KINASE COMPLEX	17
598	Negative Regulators of Hippo Signaling Pathway	17
1012	VPS-C COMPLEXES: HOPS AND CORVET	18
536	M6A METHYLTRANSFERASE COMPLEX	19
717	POLYADENYLATION FACTORS	20
466	HISTONE PRE-MRNA CLEAVAGE COMPLEX	20
1002	VACUOLAR ATPASE V0 DOMAIN SUBUNITS	21
64	ANAPHASE-PROMOTING COMPLEX	22
729	Positive Regulators of JAK-STAT Signaling Pathway	23
446	HEAT SHOCK PROTEIN 70 CHAPERONES	24
195	CONDENSIN I	24
168	CHROMOSOMAL PASSENGER COMPLEX	25
186	COAT PROTEIN COMPLEX I	26
954	TRANSCRIPTION FACTOR II D	27
966	TRAPP COMPLEX	28
350	EXOCYST	28
545	MEDIATOR COMPLEX	29
807	RNA POLYMERASE II	29
36	ADAPTOR PROTEIN COMPLEX 2	29
199	COP9 SIGNALOSOME	30
795	RHO GTPASE ACTIVATING PROTEINS	31
620	NON-RECEPTOR TYROSINE KINASES	32
603	Negative Regulators of Sevenless Signaling Pathway	33
989	U7 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	34
988	U7 SM PROTEINS	34
900	SPLICEOSOMAL SM PROTEINS	34
985	U4-U6 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	34
987	U5 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	34
986	U4-U6-U5 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	34
929	TALE HOMEOBOX TRANSCRIPTION FACTORS	35
611	NEUROPEPTIDES	36
574	MKS COMPLEX	37
445	HEAT SHOCK PROTEIN 60 CHAPERONINS - GROUP II	38
413	GOLGI-ASSOCIATED RETROGRADE PROTEIN COMPLEX I	39
197	CONSERVED OLIGOMERIC GOLGI COMPLEX	40
318	DYNACTIN COMPLEX	41
115	BRAHMA ASSOCIATED PROTEINS COMPLEX	42
