current_symbol	targetid_fac	current_symbol_id	targetid	gene_symbol	converted_id
CG2930	1	CG2930_01_A10	01_A10	CG2930	FBgn0028491
CG4301	2	CG4301_01_A11	01_A11	CG4301	FBgn0030747
CG10874	3	CG10874_01_A12	01_A12	CG10874	FBgn0031395
GC2	4	GC2_01_A14	01_A14	GC2	FBgn0037970
st	5	st_01_A15	01_A15	CG43373	FBgn0003515
Cht10	6	Cht10_01_A16	01_A16	Cht10	FBgn0250907
jbug	7	jbug_01_A17	01_A17	jbug	FBgn0028371
CG12539	8	CG12539_01_A18	01_A18	CG12539	FBgn0030586
Alp11	9	Alp11_01_A19	01_A19	CG8105	FBgn0030661
LysRS	10	LysRS_01_A2	01_A2	LysRS	FBgn0027084
CG10413	11	CG10413_01_A20	01_A20	CG10413	FBgn0032689
His3.3B	12	His3.3B_01_A21	01_A21	His3.3B	FBgn0004828
mAcon2	13	mAcon2_01_A22	01_A22	CG4706	FBgn0037862
cad	14	cad_01_A23	01_A23	cad	FBgn0000251
RpL26	15	RpL26_01_A24	01_A24	RpL26	FBgn0036825
CG11873	16	CG11873_01_A3	01_A3	CG11873	FBgn0039633
CG4660	17	CG4660_01_A4	01_A4	CG4660	FBgn0029839
Rab21	18	Rab21_01_A5	01_A5	Rab21	FBgn0039966
CG3740	19	CG3740_01_A6	01_A6	CG3740	FBgn0023530
Ndf	20	Ndf_01_A7	01_A7	CG4747	FBgn0043456
mRpL2	21	mRpL2_01_A8	01_A8	mRpL2	FBgn0036135
CG14903	22	CG14903_01_A9	01_A9	CG14903	FBgn0038446
Osi19	23	Osi19_01_B1	01_B1	Osi19	FBgn0037429
Debcl	24	Debcl_01_B10	01_B10	Debcl	FBgn0029131
CG43376	25	CG43376_01_B11	01_B11	CG43376	FBgn0263206
Nca	26	Nca_01_B12	01_B12	Nca	FBgn0013303
Cpr97Eb	27	Cpr97Eb_01_B13	01_B13	Cpr97Eb	FBgn0039481
l(2)gd1	28	l(2)gd1_01_B14	01_B14	CG6201	FBgn0261983
Orcokinin	29	Orcokinin_01_B15	01_B15	Galphas	FBgn0034935
Hsp60B	30	Hsp60B_01_B16	01_B16	Hsp60B	FBgn0011244
CG15473	31	CG15473_01_B17	01_B17	Cbp80	FBgn0029719
yps	32	yps_01_B18	01_B18	yps	FBgn0022959
CG15212	33	CG15212_01_B19	01_B19	CG15212	FBgn0040842
CG12728	34	CG12728_01_B2	01_B2	CG12728	FBgn0029825
