Attribute Id	Attribute name	Domain Id
1016	WAVE REGULATORY COMPLEX	2
26	ACTIN-RELATED PROTEIN 2/3 COMPLEX	2
1003	VACUOLAR ATPASE V1 DOMAIN SUBUNITS	3
986	U4-U6-U5 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	4
987	U5 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	4
983	U2 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	4
906	SPLICEOSOME COMPLEX P	4
904	SPLICEOSOME COMPLEX C	4
902	SPLICEOSOME COMPLEX A	4
903	SPLICEOSOME COMPLEX B	4
949	Torso Signaling Pathway Core Components	5
835	Sevenless Signaling Pathway Core Components	5
362	Fibroblast Growth Factor Receptor Signaling Pathway Core Components	5
343	Epidermal Growth Factor Receptor Signaling Pathway Core Components	5
715	Platelet-Derived Growth Factor-Vascular Endothelial Growth Factor Receptor-Related Signaling Pathway Core Components	6
907	SPT-ADA-GCN5 ACETYLTRANSFERASE	7
807	RNA POLYMERASE II	8
545	MEDIATOR COMPLEX	8
629	NUCLEAR PORE COMPLEX	9
64	ANAPHASE-PROMOTING COMPLEX	9
740	PROTEASOME SUBUNITS	10
168	CHROMOSOMAL PASSENGER COMPLEX	11
718	POLYBROMO-CONTAINING BRAHMA ASSOCIATED PROTEINS COMPLEX	12
115	BRAHMA ASSOCIATED PROTEINS COMPLEX	12
599	Negative Regulators of Insulin-like Receptor Signaling Pathway	13
606	Negative Regulators of Torso Signaling Pathway	14
565	MITOCHONDRIAL SMALL RIBOSOMAL PROTEINS	15
563	MITOCHONDRIAL LARGE RIBOSOMAL PROTEINS	15
594	NADH DEHYDROGENASES	15
556	MITOCHONDRIAL COMPLEX I - NADH:UBIQUINONE OXIDOREDUCTASE COMPLEX SUBUNITS	15
562	MITOCHONDRIAL F[[1]] ATP SYNTHASE COMPLEX SUBUNITS	15
561	MITOCHONDRIAL F[[0]] ATP SYNTHASE COMPLEX SUBUNITS	15
559	MITOCHONDRIAL COMPLEX IV - CYTOCHROME C OXIDASE SUBUNITS	15
212	CYTOCHROME-C OXIDASES	15
536	M6A METHYLTRANSFERASE COMPLEX	16
510	JAK-STAT Signaling Pathway Core Components	17
445	HEAT SHOCK PROTEIN 60 CHAPERONINS - GROUP II	18
350	EXOCYST	19
318	DYNACTIN COMPLEX	20
195	CONDENSIN I	20
143	CCR4-NOT COMPLEX	21
273	CYTOPLASMIC SMALL RIBOSOMAL PROTEINS	22
281	CYTOPLASMIC TRANSLATION INITIATION FACTORS	22
218	CYTOPLASMIC AMINOACYL-TRNA SYNTHETASES	23
246	CYTOPLASMIC LARGE RIBOSOMAL PROTEINS	24
199	COP9 SIGNALOSOME	25
186	COAT PROTEIN COMPLEX I	26
36	ADAPTOR PROTEIN COMPLEX 2	27
