Attribute Id	Attribute name	Domain Id
1016	WAVE REGULATORY COMPLEX	2
26	ACTIN-RELATED PROTEIN 2/3 COMPLEX	2
413	GOLGI-ASSOCIATED RETROGRADE PROTEIN COMPLEX I	3
197	CONSERVED OLIGOMERIC GOLGI COMPLEX	4
543	MALE SPECIFIC LETHAL COMPLEX	5
907	SPT-ADA-GCN5 ACETYLTRANSFERASE	6
142	CBF DOMAIN TRANSCRIPTION FACTORS	7
915	STRIATIN-INTERACTING PHOSPHATASE AND KINASE COMPLEX	8
598	Negative Regulators of Hippo Signaling Pathway	8
510	JAK-STAT Signaling Pathway Core Components	9
485	Insulin-like Receptor Signaling Pathway Core Components	10
281	CYTOPLASMIC TRANSLATION INITIATION FACTORS	11
218	CYTOPLASMIC AMINOACYL-TRNA SYNTHETASES	12
825	SCF-SLMB UBIQUITIN LIGASE COMPLEX	13
718	POLYBROMO-CONTAINING BRAHMA ASSOCIATED PROTEINS COMPLEX	14
115	BRAHMA ASSOCIATED PROTEINS COMPLEX	14
939	TIP60 COMPLEX	15
445	HEAT SHOCK PROTEIN 60 CHAPERONINS - GROUP II	16
1003	VACUOLAR ATPASE V1 DOMAIN SUBUNITS	17
805	RNA EXOSOME COMPLEX	18
715	Platelet-Derived Growth Factor-Vascular Endothelial Growth Factor Receptor-Related Signaling Pathway Core Components	19
949	Torso Signaling Pathway Core Components	19
362	Fibroblast Growth Factor Receptor Signaling Pathway Core Components	19
343	Epidermal Growth Factor Receptor Signaling Pathway Core Components	19
835	Sevenless Signaling Pathway Core Components	19
629	NUCLEAR PORE COMPLEX	20
900	SPLICEOSOMAL SM PROTEINS	20
985	U4-U6 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	20
989	U7 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	20
988	U7 SM PROTEINS	20
982	U1 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	20
986	U4-U6-U5 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	20
906	SPLICEOSOME COMPLEX P	20
904	SPLICEOSOME COMPLEX C	20
903	SPLICEOSOME COMPLEX B	20
987	U5 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	20
983	U2 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	20
902	SPLICEOSOME COMPLEX A	20
740	PROTEASOME SUBUNITS	20
64	ANAPHASE-PROMOTING COMPLEX	21
188	COHESIN	22
318	DYNACTIN COMPLEX	22
195	CONDENSIN I	22
168	CHROMOSOMAL PASSENGER COMPLEX	23
199	COP9 SIGNALOSOME	24
347	ESCRT-II COMPLEX	25
340	ENOK COMPLEX	26
632	NUCLEOSOME REMODELING DEACETYLASE COMPLEX	27
350	EXOCYST	28
565	MITOCHONDRIAL SMALL RIBOSOMAL PROTEINS	29
594	NADH DEHYDROGENASES	29
556	MITOCHONDRIAL COMPLEX I - NADH:UBIQUINONE OXIDOREDUCTASE COMPLEX SUBUNITS	29
563	MITOCHONDRIAL LARGE RIBOSOMAL PROTEINS	29
562	MITOCHONDRIAL F[[1]] ATP SYNTHASE COMPLEX SUBUNITS	30
561	MITOCHONDRIAL F[[0]] ATP SYNTHASE COMPLEX SUBUNITS	30
559	MITOCHONDRIAL COMPLEX IV - CYTOCHROME C OXIDASE SUBUNITS	30
212	CYTOCHROME-C OXIDASES	30
972	TSC1-TSC2 COMPLEX	31
599	Negative Regulators of Insulin-like Receptor Signaling Pathway	32
954	TRANSCRIPTION FACTOR II D	33
807	RNA POLYMERASE II	34
545	MEDIATOR COMPLEX	34
721	POLYCOMB REPRESSIVE COMPLEX 1 (CORE SUBUNITS)	35
466	HISTONE PRE-MRNA CLEAVAGE COMPLEX	36
380	GERMINAL CENTER KINASES	37
356	FACT COMPLEX	38
335	ELECTRON TRANSFER FLAVOPROTEINS	39
273	CYTOPLASMIC SMALL RIBOSOMAL PROTEINS	40
186	COAT PROTEIN COMPLEX I	41
123	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASES	42
36	ADAPTOR PROTEIN COMPLEX 2	43
