"plate","well","content","id","fbgn","gene_symbol","hd3plate","hd3well","hd3content","hd3query_id","hd3fbgn","hd3gene"
"1001","A1","thread","control","no_gene","control","\N","\N","\N","\N","\N","\N"
"1001","A2","sample","HD3101718","FBgn0027084","LysRS","1005","O4","probe","FBgn0027084_cr2","FBgn0027084","Aats-lys"
"1001","A3","sample","HD3107034","FBgn0039633","CG11873","1019","E4","probe","FBgn0039633_cr8","FBgn0039633","CG11873"
"1001","A4","sample","HD3101654","FBgn0029839","CG4660","1005","C20","probe","FBgn0029839_cr2","FBgn0029839","CG4660"
"1001","A5","sample","HD3107086","FBgn0039966","Rab21","1019","M12","probe","FBgn0039966_cr1","FBgn0039966","Rab21"
"1001","A6","sample","HD3101683","FBgn0023530","CG3740","1005","I6","probe","FBgn0023530_cr2","FBgn0023530","CG3740"
"1001","A7","sample","HD3107035","FBgn0043456","CG4747","1019","E6","probe","FBgn0043456_cr1","FBgn0043456","CG4747"
"1001","A8","sample","HD3101689","FBgn0036135","mRpL2","1005","I18","probe","FBgn0036135_cr1","FBgn0036135","mRpL2"
"1001","A9","sample","HD3107042","FBgn0038446","CG14903","1019","E20","probe","FBgn0038446_cr1","FBgn0038446","CG14903"
"1001","A10","sample","HD3101634","FBgn0028491","CG2930","1005","A4","probe","FBgn0028491_cr5","FBgn0028491","CG2930"
"1001","A11","sample","HD3107094","FBgn0030747","CG4301","1019","O4","probe","FBgn0030747_cr8","FBgn0030747","CG4301"
"1001","A12","sample","HD3101695","FBgn0031395","CG10874","1005","K6","probe","FBgn0031395_cr1","FBgn0031395","CG10874"
"1001","A13","thread","control","no_gene","control","\N","\N","\N","\N","\N","\N"
"1001","A14","sample","HD3101671","FBgn0037970","GC2","1005","G6","probe","FBgn0037970_cr3","FBgn0037970","GC2"
"1001","A15","sample","HD3107024","FBgn0263131","CG43373","1019","C8","probe","FBgn0003515_cr7","FBgn0003515","st"
"1001","A16","sample","HD3101711","FBgn0250907","Cht10","1005","M14","probe","FBgn0250907_cr6","FBgn0250907","Cht3"
"1001","A17","sample","HD3107028","FBgn0028371","jbug","1019","C16","probe","FBgn0028371_cr1","FBgn0028371","jbug"
"1001","A18","sample","HD3101691","FBgn0030586","CG12539","1005","I22","probe","FBgn0030586_cr1","FBgn0030586","CG12539"
"1001","A19","sample","HD3107019","FBgn0030661","CG8105","1019","A22","probe","FBgn0030661_cr1","FBgn0030661","CG8105"
"1001","A20","sample","HD3101653","FBgn0032689","CG10413","1005","C18","probe","FBgn0032689_cr1","FBgn0032689","CG10413"
"1001","A21","sample","HD3107063","FBgn0004828","His3.3B","1019","I14","probe","FBgn0004828_cr1","FBgn0004828","His3.3B"
"1001","A22","sample","HD3101728","FBgn0037862","CG4706","1005","O24","probe","FBgn0037862_cr1","FBgn0037862","CG4706"
"1001","A23","sample","HD3107097","FBgn0000251","cad","1019","O10","probe","FBgn0000251_cr1","FBgn0000251","cad"
"1001","A24","sample","HD3101677","FBgn0036825","RpL26","1005","G18","probe","FBgn0036825_cr2","FBgn0036825","RpL26"
"1001","B1","sample","HD3115412","FBgn0037429","Osi19","1041","I7","probe","HD3115412_1","FBgn0037429","Osi19"
"1001","B2","sample","HD3103816","FBgn0029825","CG12728","1010","L24","probe","FBgn0029825_cr5","FBgn0029825","CG12728"
"1001","B3","sample","HD3115440","FBgn0262097","CR42850","1041","M15","probe","HD3115440_1","FBgn0262097","CR42850"
