plate	well	content	hd3_id	fbgn	gene_symbol	hd3plate	hd3well	hd3content	hd3query_id	hd3fbgn	hd3gene	id
CTRL1	A1	sample	HD3114092	FBgn0037487	thw	1037	N7	probe	HD3114092_1	FBgn0037487	CG14608	14593
CTRL1	A2	sample	HD3200032	FBgn0041191	Rheb	2001	E15	probe	FBgn0041191_cr4	FBgn0041191	Rheb	14594
CTRL1	A3	sample	HD3101503	FBgn0037093	Cdk12	1004	L6	probe	FBgn0037093_cr5	FBgn0037093	Cdk12	14595
CTRL1	A4	sample	HD3201247	FBgn0051812	CG31812	2004	O21	probe	FBgn0032596_cr1	FBgn0032596	Prosbeta4	14596
CTRL1	A5	sample	HD3102005	FBgn0032955	CG2201	1006	O1	probe	FBgn0032955_cr4	FBgn0032955	CG2201	14597
CTRL1	A6	sample	HD3205747	FBgn0032809	CG13078	2015	N22	probe	FBgn0032809_cr1	FBgn0032809	CG13078	14598
CTRL1	A7	sample	HD3204329	FBgn0035388	CG2162	2012	A18	probe	FBgn0035388_cr8	FBgn0035388	CG2162	14599
CTRL1	A8	sample	HD3211133	FBgn0030614	CG9072	2029	P18	probe	HD3211133_1	FBgn0030614	CG9072	14600
CTRL1	A9	sample	HD3201225	FBgn0015618	Cdk8	2004	M1	probe	FBgn0015618_cr1	FBgn0015618	Cdk8	14601
CTRL1	A10	sample	HD3112373	FBgn0051495	CG31495	1033	O1	probe	FBgn0051495_cr1	FBgn0051495	CG31495	14602
CTRL1	A11	sample	HD3103591	FBgn0015565	yin	1010	G6	probe	FBgn0015565_cr1	FBgn0015565	NA	14603
CTRL1	A12	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14604
CTRL1	A13	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14605
CTRL1	A14	sample	HD3211195	FBgn0260794	ctrip	2030	I21	probe	HD3211195_1	FBgn0260794	ctrip	14606
CTRL1	A15	sample	HD3106235	FBgn0036932	CG14184	1017	O13	probe	FBgn0036932_cr1	FBgn0036932	CG14184	14607
CTRL1	A16	sample	HD3100255	FBgn0001324	kto	1001	L5	probe	FBgn0001324_cr1	FBgn0001324	kto	14608
CTRL1	A17	sample	HD3106615	FBgn0003366	sev	1018	O5	probe	FBgn0003366_cr12	FBgn0003366	sev	14609
CTRL1	A18	sample	HD3203194	FBgn0015393	hoip	2009	E4	probe	FBgn0015393_cr2	FBgn0015393	hoip	14610
CTRL1	A19	sample	HD3204158	FBgn0004509	Fur1	2011	F12	probe	FBgn0004509_cr7	FBgn0004509	Fur1	14611
CTRL1	A20	sample	HD3102729	FBgn0040011	Slmap	1008	G9	probe	FBgn0040011_cr3	FBgn0040011	Slmap	14612
CTRL1	A21	sample	HD3200267	FBgn0022936	CycH	2001	N5	probe	FBgn0022936_cr3	FBgn0022936	CycH	14613
CTRL1	A22	sample	HD3104795	FBgn0086687	Desat1	1013	O14	probe	FBgn0086687_cr4	FBgn0086687	Desat1	14614
CTRL1	A23	sample	HD3206235	FBgn0036932	CG14184	2017	O13	probe	FBgn0036932_cr5	FBgn0036932	CG14184	14615
CTRL1	A24	sample	HD3101120	FBgn0037655	CG11984	1003	L8	probe	FBgn0040534_cr1	FBgn0040534	CG11985	14616
