genex	geney	r
-	Tailor	0.9160276686252332
-	qua	0.9014180327581925
-	CG34207	0.9012591985206999
-	Or43a	0.9222297030949904
-	CG32720	0.9087612072937358
-	Lkr	0.8785701193572458
-	Nazo	0.8343835085558079
-	skl	0.8341785196806037
-	CG15767	0.8022253705844818
-	CG13168	0.8915024256643631
-	DptB	0.8880929522043389
-	CG5746	0.8858880177316021
14-3-3zeta	sqd	0.9230617702895781
14-3-3zeta	msl-1	0.9159994064719202
14-3-3zeta	SerRS	0.9100572738237376
140up	tRNA:Val-AAC-2-3	0.8914016308608832
140up	GlcT	0.8689137296952103
140up	CG11399	0.8503392796940603
4E-T	Bap111	0.9245388846588302
4E-T	Vps37B	0.915834365296901
4E-T	mor	0.9104343714828775
5-HT1B	CG13722	0.9532739006785582
5-HT1B	CG6985	0.9414840000788656
5-HT1B	Ilp1	0.9409508873497693
5-HT1B	sov	0.935100752579539
5-HT1B	Art1	0.9244134624998132
5-HT1B	CG8372	0.9171566233594748
5-HT2A	CG6762	0.8844755082269741
5-HT2A	LPCAT	0.8599571616316164
5-HT2A	snoRNA:Psi28S-1837c	0.8500399185376546
5SrRNA:CR33405	CG45105	0.8986436155844924
5SrRNA:CR33405	CG17575	0.8965161267828337
5SrRNA:CR33405	mu2	0.888480895246209
a10	CG1582	0.8244382166096247
a10	SRm160	0.7883890757754575
a10	CngB	0.7735073108475866
a5	TotB	0.8241624631470217
a5	Xxylt	0.8091301078710895
a5	Psc	0.7681501558729389
AANAT1	CG13116	0.8959839551606192
AANAT1	NT1	0.8814059475925415
AANAT1	rdhB	0.8677401913903086
Aatf	CG14069	0.8906409633291975
Aatf	Tpi	0.845046331585446
Aatf	TfIIFbeta	0.8247762198011629
ABCA	CG2698	0.86287518954278
ABCA	Cpsf6	0.8127722160328745
ABCA	CG1722	0.8114539237897672
abd-A	CG32847	0.7682243445176525
abd-A	Or22c	0.7419355551421528
abd-A	CG6425	0.7312199838426343
Abd-B	Pc	0.7651534602918256
Abd-B	Spn28B	0.7390106395631093
Abd-B	Uba2	0.6901184470790936
Abi	Sra-1	0.967783867440876
Abi	Hem	0.9583804403112818
