genex	geney	idx	idy	r
-	edin	03_H3	02_F2	0.48309388719029395
-	Ubi-p63E	03_H3	10_B3	0.4170199593549305
-	Amun	03_H3	01_H5	0.4078716521740428
-	ppk26	03_O13	12_N1	0.45427086665654126
-	CG15170	03_O13	14_M19	0.4456360119635762
-	bigmax	03_O13	02_K6	0.40556732636989307
-	Trissin	06_M6	11_J24	0.41956731792637203
-	a10	06_M6	02_M24	0.41020254185807126
-	Hcs	06_M6	19_E5	0.4014546100608713
-	Mppe	08_J11	04_O24	0.3917709724280964
-	CG8785	08_J11	13_C1	0.3730135177130246
-	CG4709	08_J11	09_M12	0.3591355446520401
14-3-3zeta	CG5004	10_D17	16_G2	0.4206062638094015
14-3-3zeta	WDR79	10_D17	11_A8	0.402732709766638
14-3-3zeta	Gr39b	10_D17	10_E14	0.3813832323471565
140up	phm	13_H24	16_P18	0.46618363995110457
140up	CG12883	13_H24	16_P14	0.4306216872989045
140up	CG15343	13_H24	16_P21	0.42097475938279816
4E-T	spen	14_C24	10_N22	0.49783056041338364
4E-T	CG32066	14_C24	05_O3	0.4756298508443488
4E-T	Atx2	14_C24	06_E11	0.4576519481712319
5-HT1B	CG10651	03_A6	01_G15	0.41593817015857354
5-HT1B	CG13643	03_A6	16_C9	0.4089897490692437
5-HT1B	Tap42	03_A6	10_L20	0.3621695231343457
5-HT1B	dup	19_A11	17_E20	0.7466980437258494
5-HT1B	SNF4Agamma	19_A11	06_M23	0.6630581161242589
5-HT1B	shrb	19_A11	05_D20	0.6515163147563691
5-HT2A	AhcyL1	12_P3	15_G1	0.4389360264365024
5-HT2A	CG34189	12_P3	12_O3	0.3977242131134564
5-HT2A	CG14850	12_P3	04_A3	0.37670687649422097
5SrRNA:CR33405	Xpd	14_K3	18_C3	0.4234107738332194
5SrRNA:CR33405	CG43109	14_K3	07_D15	0.42068185550416926
5SrRNA:CR33405	eIF2beta	14_K3	16_O15	0.36837927366746753
a10	CG15098	02_M24	05_B5	0.5470601953480139
a10	C1GalTA	02_M24	02_A24	0.4690638619477354
a10	PTPMT1	02_M24	09_I13	0.4536220360589266
a5	tup	19_C8	19_C13	0.4475792779831486
a5	CG16758	19_C8	03_B19	0.4382306192458998
a5	Rtca	19_C8	19_D19	0.393155657090909
AANAT1	CG31415	19_N9	19_P17	0.4036767433820609
AANAT1	CG13725	19_N9	17_C17	0.3969346723989554
AANAT1	ItgaPS4	19_N9	19_O9	0.3762867678668784
Aatf	Ugt37A2	18_G20	18_L10	0.397915694748946
Aatf	Tnpo-SR	18_G20	07_P23	0.38871549336348615
Aatf	CG17325	18_G20	02_P7	0.38553197782341825
ABCA	p23	04_F15	03_C13	0.4645772633563924
ABCA	CG6216	04_F15	05_C14	0.41552763262075654
ABCA	twit	04_F15	05_D1	0.4115813771347659
abd-A	CG9631	17_L5	08_A21	0.4290710880179212
abd-A	CG6435	17_L5	19_B10	0.4111873693537787
